complaint_id,text,language,category,department,priority,template_group
HGL_0001,Payment deduct ho gaya but order confirm nahi hua.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0002,Payment deduct ho gaya but order confirm nahi hua. Please jaldi resolve karo.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0003,Payment deduct ho gaya but order confirm nahi hua. Mujhe jaldi update chahiye.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0004,"Hello, payment deduct ho gaya but order confirm nahi hua.",Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0005,"Hello, payment deduct ho gaya but order confirm nahi hua. Please jaldi resolve karo.",Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0006,"Hello, payment deduct ho gaya but order confirm nahi hua. Mujhe jaldi update chahiye.",Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0007,"Please help, payment deduct ho gaya but order confirm nahi hua.",Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0008,"Please help, payment deduct ho gaya but order confirm nahi hua. Please jaldi resolve karo.",Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0009,"Please help, payment deduct ho gaya but order confirm nahi hua. Mujhe jaldi update chahiye.",Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0010,Mujhe help chahiye kyunki payment deduct ho gaya but order confirm nahi hua.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0011,Mujhe help chahiye kyunki payment deduct ho gaya but order confirm nahi hua. Please jaldi resolve karo.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0012,Mujhe help chahiye kyunki payment deduct ho gaya but order confirm nahi hua. Mujhe jaldi update chahiye.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0013,Ye urgent hai: payment deduct ho gaya but order confirm nahi hua.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0014,Ye urgent hai: payment deduct ho gaya but order confirm nahi hua. Please jaldi resolve karo.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
HGL_0015,Ye urgent hai: payment deduct ho gaya but order confirm nahi hua. Mujhe jaldi update chahiye.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_01
