complaint_id,text,language,category,department,priority,template_group,text_length,word_count,split
HIN_0141,"नमस्ते, मेरी खरीदारी के लिए गलत राशि ली गई। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_10,76,15,test
HIN_0402,मुझे सहायता चाहिए क्योंकि रिफंड गलत पेमेंट माध्यम में भेज दिया गया। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Refund Issue,Refund Team,High,Hindi_Refund Issue_07,100,18,test
HGL_1150,Mujhe help chahiye kyunki account mein unknown delivery address add hua hai.,Hinglish,Fraud/Security,Security Team,Critical,Hinglish_Fraud/Security_07,76,12,train
HGL_1176,"Hello, fake customer care agent ne bank details maangi. Mujhe jaldi update chahiye.",Hinglish,Fraud/Security,Security Team,Critical,Hinglish_Fraud/Security_09,83,13,train
ENG_0212,My package is stuck at the same location Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05,61,11,test
HGL_1116,"Hello, mere saved card ko bina permission use kiya gaya. Mujhe jaldi update chahiye.",Hinglish,Fraud/Security,Security Team,Critical,Hinglish_Fraud/Security_05,84,14,train
HIN_0266,मुझे सहायता चाहिए क्योंकि मेरे ऑर्डर का केवल एक हिस्सा मिला है। कृपया इसे जल्दी हल करें।,Hindi,Delivery Issue,Logistics Team,Medium,Hindi_Delivery Issue_08,88,17,train
ENG_0135,This is urgent: the payment page keeps failing during checkout I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_09,100,18,train
HGL_0278,"Please help, courier person ne package deliver karne se mana kiya. Please jaldi resolve karo.",Hinglish,Delivery Issue,Logistics Team,Medium,Hinglish_Delivery Issue_09,93,15,train
HIN_0543,ऐप में कैंसलेशन का विकल्प नहीं दिख रहा है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Cancellation Issue,Order Management,Medium,Hindi_Cancellation Issue_07,75,15,test
