complaint_id,text,language,category,department,priority,template_group
HIN_0001,मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0002,मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0003,मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0004,"नमस्ते, मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0005,"नमस्ते, मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0006,"नमस्ते, मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0007,"कृपया मदद करें, मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0008,"कृपया मदद करें, मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0009,"कृपया मदद करें, मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0010,मुझे सहायता चाहिए क्योंकि मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0011,मुझे सहायता चाहिए क्योंकि मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0012,मुझे सहायता चाहिए क्योंकि मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0013,यह बहुत जरूरी है: मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0014,यह बहुत जरूरी है: मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0015,यह बहुत जरूरी है: मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01
HIN_0016,एक ही ऑर्डर के लिए दो बार पैसे कट गए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0017,एक ही ऑर्डर के लिए दो बार पैसे कट गए। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0018,एक ही ऑर्डर के लिए दो बार पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0019,"नमस्ते, एक ही ऑर्डर के लिए दो बार पैसे कट गए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0020,"नमस्ते, एक ही ऑर्डर के लिए दो बार पैसे कट गए। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0021,"नमस्ते, एक ही ऑर्डर के लिए दो बार पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
