complaint_id,text,language,category,department,priority,template_group
ENG_0001,My payment was deducted but the order was not confirmed,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0002,My payment was deducted but the order was not confirmed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0003,My payment was deducted but the order was not confirmed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0004,"Hello, my payment was deducted but the order was not confirmed",English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0005,"Hello, my payment was deducted but the order was not confirmed Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0006,"Hello, my payment was deducted but the order was not confirmed I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0007,"Please help, my payment was deducted but the order was not confirmed",English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0008,"Please help, my payment was deducted but the order was not confirmed Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0009,"Please help, my payment was deducted but the order was not confirmed I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0010,I need assistance because my payment was deducted but the order was not confirmed,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0011,I need assistance because my payment was deducted but the order was not confirmed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0012,I need assistance because my payment was deducted but the order was not confirmed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0013,This is urgent: my payment was deducted but the order was not confirmed,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0014,This is urgent: my payment was deducted but the order was not confirmed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0015,This is urgent: my payment was deducted but the order was not confirmed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_01
ENG_0016,I was charged twice for the same order,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0017,I was charged twice for the same order Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0018,I was charged twice for the same order I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0019,"Hello, I was charged twice for the same order",English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0020,"Hello, I was charged twice for the same order Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0021,"Hello, I was charged twice for the same order I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0022,"Please help, I was charged twice for the same order",English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0023,"Please help, I was charged twice for the same order Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0024,"Please help, I was charged twice for the same order I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0025,I need assistance because I was charged twice for the same order,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0026,I need assistance because I was charged twice for the same order Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0027,I need assistance because I was charged twice for the same order I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0028,This is urgent: I was charged twice for the same order,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0029,This is urgent: I was charged twice for the same order Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0030,This is urgent: I was charged twice for the same order I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_02
ENG_0031,The payment failed but money was taken from my account,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0032,The payment failed but money was taken from my account Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0033,The payment failed but money was taken from my account I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0034,"Hello, the payment failed but money was taken from my account",English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0035,"Hello, the payment failed but money was taken from my account Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0036,"Hello, the payment failed but money was taken from my account I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0037,"Please help, the payment failed but money was taken from my account",English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0038,"Please help, the payment failed but money was taken from my account Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0039,"Please help, the payment failed but money was taken from my account I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0040,I need assistance because the payment failed but money was taken from my account,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0041,I need assistance because the payment failed but money was taken from my account Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0042,I need assistance because the payment failed but money was taken from my account I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0043,This is urgent: the payment failed but money was taken from my account,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0044,This is urgent: the payment failed but money was taken from my account Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0045,This is urgent: the payment failed but money was taken from my account I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_03
ENG_0046,My card payment is stuck in processing,English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0047,My card payment is stuck in processing Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0048,My card payment is stuck in processing I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0049,"Hello, my card payment is stuck in processing",English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0050,"Hello, my card payment is stuck in processing Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0051,"Hello, my card payment is stuck in processing I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0052,"Please help, my card payment is stuck in processing",English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0053,"Please help, my card payment is stuck in processing Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0054,"Please help, my card payment is stuck in processing I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0055,I need assistance because my card payment is stuck in processing,English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0056,I need assistance because my card payment is stuck in processing Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0057,I need assistance because my card payment is stuck in processing I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0058,This is urgent: my card payment is stuck in processing,English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0059,This is urgent: my card payment is stuck in processing Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_04
